ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404791,4,1,3,7,54,-1,10,10,1,1,1,0,2,25,3,1,1
404794,7,0,3,4,60,2,14,-1,5,4,1,0,3,17,6,1,5
404795,2,0,4,6,-9,2,10,-1,1,1,2,0,1,-9,3,1,5
404796,7,2,2,7,37,2,14,-1,1,1,1,1,1,15,6,1,3
404800,5,5,4,6,47,2,10,-1,1,1,1,4,1,2,3,3,3
404803,7,1,1,5,72,-1,95,13,5,4,0,0,3,21,,2,1
404805,3,4,2,7,22,2,10,-1,1,1,1,0,1,27,3,1,5
404807,7,3,3,6,53,2,95,-1,1,1,1,0,3,22,,4,3
404808,1,1,1,3,49,-1,10,9,1,1,1,0,2,25,3,2,1
404809,7,1,5,1,75,-1,13,13,5,1,3,0,2,23,5,2,1
404811,4,1,2,7,73,2,10,-1,1,1,1,0,2,21,3,2,3
404812,7,0,6,6,69,2,13,-1,5,1,1,0,2,14,5,1,3
404814,7,1,2,3,37,-1,14,10,4,1,1,1,4,3,6,4,1
404815,7,2,2,6,58,-1,14,14,1,1,1,0,2,27,6,1,1
404818,6,3,1,6,53,-1,13,14,1,1,1,2,2,25,5,2,1
404819,1,0,3,5,28,2,14,-1,1,1,4,0,2,19,6,1,5
404821,7,3,1,7,72,1,16,11,1,4,0,0,1,13,6,1,3
404823,5,3,1,4,27,-1,10,10,1,1,1,2,2,23,3,2,1
404824,5,2,2,6,36,-1,14,16,1,1,2,1,2,24,6,1,1
404830,7,0,4,5,83,2,10,-1,5,1,1,0,1,5,3,1,4
404831,4,3,4,4,32,-1,13,9,4,4,0,2,2,23,5,2,1
404841,6,1,1,5,78,-1,16,16,5,4,0,0,3,28,6,2,1
